Maximum,Minimum
28,24
29,23
32,23
30,23
27,24
26,24
27,23
32,23
28,23
34,22
33,23
29,24
27,24
29,24
26,24
29,23
31,23
31,23
29,23
30,23
30,23
30,24
28,24
33,23
31,23
30,23
30,23
31,23
32,23
30,23
30,24
